name,harshness,melodiousness,beauty_score,beauty_rank
Nigeria,0.0,59.92857142857143,59.92857142857143,1
Germany,0.0,58.5,58.5,2
Mexico,0.0,53.5,53.5,3
France,0.0,45.83333333333333,45.83333333333333,4
China,20.0,47.5,41.5,5
Canada,58.333333333333314,53.5,36.00000000000001,6
India,70.00000000000003,55.5,34.49999999999999,7
Brazil,100.0,48.83333333333333,18.83333333333333,8
Japan,100.0,47.5,17.5,9
Spain,100.0,44.5,14.5,10
Egypt,100.0,41.5,11.5,11
America,0.0,59.92857142857143,6.5,12
