surname_pinyin,surname_chinese,approx_percentage,rank
Wang,王,7.25,1
Li,李,7.19,2
Zhang,张,6.83,3
Liu,刘,5.38,4
Chen,陈,4.53,5
Yang,杨,3.08,6
Huang,黄,2.23,7
Zhao,赵,2.29,8
Wu,吴,2.05,9
Zhou,周,2.1,10
