generation,best_fitness,mean_fitness,std_fitness
0,0.288670019353083,0.27685912638044213,0.0062889332303036
1,0.2945114944467572,0.28355643537559877,0.005855879881473335
2,0.29731061653887825,0.2891527549631056,0.0039431270059015686
3,0.29731061653887825,0.29290461964576786,0.002655305727559161
4,0.29731061653887825,0.2950639415367149,0.0014460700857408448
5,0.2975667412341768,0.29663984118612985,0.0008516265953731086
6,0.2976312298298725,0.29726230005377086,0.0003423989880688706
7,0.2978873545251711,0.2974898729484398,0.0001685756232359425
