generation,best_fitness,mean_fitness,std_fitness
0,0.2910225269788358,0.2757341423609398,0.006747630365278934
1,0.2910225269788358,0.2813273028380135,0.005549787439036823
2,0.2956052729894033,0.2865719449806599,0.004348915468796643
3,0.2963310740790297,0.29049587433956303,0.0041334509500802865
4,0.29696876757042767,0.2943147721787919,0.002597644273783455
5,0.29696876757042767,0.29627339866191454,0.0005369300179875659
6,0.29753920272730205,0.29672202864905484,0.00046267138498704805
7,0.2976132696740917,0.29700686691108713,0.00020651815346011925
