generation,best_fitness,mean_fitness,std_fitness
0,0.28794552261716116,0.27597797442635685,0.00581170699103467
1,0.28888288179282734,0.2797820731912986,0.004185976155492111
2,0.2913553790748333,0.28264303859521367,0.003923960120967424
3,0.29596259859371155,0.28651030593802745,0.003778056252344229
4,0.29596259859371155,0.2897128583731584,0.0029449864365634192
5,0.2961106046608573,0.29304631536790127,0.002531508047675548
6,0.29779552787132424,0.2952537166518413,0.0014906072502829232
7,0.29860215112299815,0.29652106687432317,0.0011280788176144209
8,0.29860215112299815,0.29760792165712213,0.0006061290728531501
9,0.2986544222790775,0.29797852671945785,0.000495174755922474
10,0.2986544222790775,0.29836209035006367,0.00040057867944344656
11,0.2989871267011771,0.2986153457759831,5.8593362429663476e-05
