generation,best_fitness,mean_fitness,std_fitness
0,0.08964494132357446,0.07703758554414328,0.006188565418934171
1,0.09050502998854092,0.08375847528867184,0.00345537514526949
2,0.09376043005358636,0.08685968261671288,0.002951374708820677
3,0.09461153621541665,0.08961302907941686,0.002389555526892491
4,0.09543664749141256,0.09187789630628364,0.0019810127950444746
5,0.09687919679170107,0.09419028102226525,0.001532942000685537
6,0.09709119201921046,0.09546494260647723,0.0009614992364222869
7,0.09747370913521858,0.0964703931122223,0.0005672919633663876
8,0.09791066003901726,0.09684729012860434,0.000409534418553837
9,0.09791066003901726,0.09713574378254534,0.0004480542758553387
10,0.09791066003901726,0.09742774910909233,0.00042043641897988735
