Pipeline,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,matthews_corrcoef_mean,matthews_corrcoef_std
statistical_baseline,0.9973521588696397,0.0019246404454330698,0.9980103719109685,0.001447756466707355,0.9980085348506401,0.0014506456653180016,0.9998781697429706,0.0001803306410820905,0.9968160070098955,0.0027952310230558845,0.9979148697602207,0.002022174869409403,0.9947256248191227,0.00382713473230029
ensemble_effects,0.9379499748530036,0.005086731650559738,0.9520410991277892,0.004171482141045947,0.950769798138219,0.004447759685014366,0.984728147564011,0.0020282129710343694,0.9189515835173026,0.006677925042749676,0.9641355072820919,0.002350562257354221,0.8819099429173465,0.008551839991400263
narrative_potential,0.9370024017498079,0.0052697725809800295,0.9512531711277366,0.004223647149046978,0.9499163130742078,0.004427103615754087,0.9734673291604032,0.0022622465312002737,0.9174012421303225,0.005935219218816676,0.96433284457478,0.004468284761754831,0.8804727280444584,0.00972276136388669
combined_narrative,0.9251268035355101,0.004083816623346219,0.9427069840394038,0.003141861255041964,0.9416619048197996,0.0032439125406794923,0.9843021513590774,0.0012469663630935647,0.9115659990353425,0.004869180782046311,0.942133689839572,0.00641805345642097,0.853116714382786,0.00822001705627595
relational_value,0.9078981931607494,0.007766809667744279,0.9301424876742834,0.005843251477340605,0.9294269978480505,0.005851667149636271,0.9812719694916089,0.001254123136181995,0.9002379287545766,0.007693871640124688,0.9169352744030161,0.01064681762381072,0.8169380448541428,0.015470153948310715
nominative_analysis,0.7745536805153387,0.025486527330599456,0.8420163070812274,0.016749910656855726,0.8554335712230449,0.014032080873308362,0.9016928583750217,0.00974146735211682,0.8526891973816462,0.024970860636037293,0.7420863316000886,0.025135121750579813,0.5838979104280487,0.04583164953619184
